session_uid,package,source_run,session_id,artifact_dir,frida_trace_path,agent_log_path,faithfulness_verdict,judge_version,inclusion_status,inclusion_reason,quality_tag,meaningful_event_count,coverage_gap,human_label,notes
a2dp.Vol__bulk_llm_benign_v6__f67ef52502fa_llm_s1,a2dp.Vol,bulk_llm_benign_v6,f67ef52502fa_llm_s1,logs/bulk_llm_benign_v6/f67ef52502fa_a2dp.Vol/dynamic/llm/session_1,logs/bulk_llm_benign_v6/f67ef52502fa_a2dp.Vol/dynamic/llm/session_1/a2dp.Vol_frida.jsonl,logs/bulk_llm_benign_v6/f67ef52502fa_a2dp.Vol/dynamic/llm/session_1/a2dp.Vol_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,0,Core flows from expected use largely touched; residual: Interact with discovered UI: Bluetooth Devices ListView01 ListView · Load Devices Button0 · OK button1 Button · Delete b,,
ac.mdiq.podcini.X__bulk_llm_benign_v6__b170c24c85b2_llm_s1,ac.mdiq.podcini.X,bulk_llm_benign_v6,b170c24c85b2_llm_s1,logs/bulk_llm_benign_v6/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_1,logs/bulk_llm_benign_v6/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_1/ac.mdiq.podcini.X_frida.jsonl,logs/bulk_llm_benign_v6/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_1/ac.mdiq.podcini.X_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,198,deeper planned goals beyond early steps (10 planned),,flailing: mechanical_majority: 43/68 successful actions are back/wait/swipe/scroll (63%); named_functional_taps=0
ac.robinson.mediaphone__bulk_llm_benign_v6__497e019dc8a1_llm_s1,ac.robinson.mediaphone,bulk_llm_benign_v6,497e019dc8a1_llm_s1,logs/bulk_llm_benign_v6/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_1,logs/bulk_llm_benign_v6/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_1/ac.robinson.mediaphone_frida.jsonl,logs/bulk_llm_benign_v6/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_1/ac.robinson.mediaphone_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,3164,deeper planned goals beyond early steps (10 planned),,
ademar.bitac__bulk_llm_benign_v6__3f8f31a5b92b_llm_s1,ademar.bitac,bulk_llm_benign_v6,3f8f31a5b92b_llm_s1,logs/bulk_llm_benign_v6/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_1,logs/bulk_llm_benign_v6/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_1/ademar.bitac_frida.jsonl,logs/bulk_llm_benign_v6/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_1/ademar.bitac_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,126,deeper planned goals beyond early steps (9 planned),,
agersant.polaris__bulk_llm_benign_v6__2aaffda626ec_llm_s1,agersant.polaris,bulk_llm_benign_v6,2aaffda626ec_llm_s1,logs/bulk_llm_benign_v6/2aaffda626ec_agersant.polaris/dynamic/llm/session_1,logs/bulk_llm_benign_v6/2aaffda626ec_agersant.polaris/dynamic/llm/session_1/agersant.polaris_frida.jsonl,logs/bulk_llm_benign_v6/2aaffda626ec_agersant.polaris/dynamic/llm/session_1/agersant.polaris_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,1,Core flows from expected use largely touched; residual: Interact with discovered UI: CONNECT Button · EditText,,flailing: same_element_cycle: screen hash fe7bd49af5e2… dominates (100%) and top named target repeated 34/34 times
agrigolo.chubbyclick__bulk_llm_benign_v6__13a5b49070c9_llm_s1,agrigolo.chubbyclick,bulk_llm_benign_v6,13a5b49070c9_llm_s1,logs/bulk_llm_benign_v6/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_1,logs/bulk_llm_benign_v6/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_1/agrigolo.chubbyclick_frida.jsonl,logs/bulk_llm_benign_v6/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_1/agrigolo.chubbyclick_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,1501,Core flows from expected use largely touched; residual: Interact with discovered UI: Home navigation_home FrameLayout · Practice navigation_pract · Home navigation_home FrameLa,,
agrigolo.opendrummer__bulk_llm_benign_v6__9347877bc340_llm_s1,agrigolo.opendrummer,bulk_llm_benign_v6,9347877bc340_llm_s1,logs/bulk_llm_benign_v6/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_1,logs/bulk_llm_benign_v6/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_1/agrigolo.opendrummer_frida.jsonl,logs/bulk_llm_benign_v6/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_1/agrigolo.opendrummer_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,2,deeper planned goals beyond early steps (8 planned),,
ai.susi__bulk_llm_benign_v6__6f8510108099_llm_s1,ai.susi,bulk_llm_benign_v6,6f8510108099_llm_s1,logs/bulk_llm_benign_v6/6f8510108099_ai.susi/dynamic/llm/session_1,logs/bulk_llm_benign_v6/6f8510108099_ai.susi/dynamic/llm/session_1/ai.susi_frida.jsonl,logs/bulk_llm_benign_v6/6f8510108099_ai.susi/dynamic/llm/session_1/ai.susi_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,802,Core flows from expected use largely touched; residual: Interact with discovered UI: Ask SUSI something… askSusiMessage EditText · fabsetting Ima · Ask SUSI something… askSusiM,,
amirz.rootless.nexuslauncher__bulk_llm_benign_v6__7fa44d560dc4_llm_s1,amirz.rootless.nexuslauncher,bulk_llm_benign_v6,7fa44d560dc4_llm_s1,logs/bulk_llm_benign_v6/7fa44d560dc4_amirz.rootless.nexuslauncher/dynamic/llm/session_1,logs/bulk_llm_benign_v6/7fa44d560dc4_amirz.rootless.nexuslauncher/dynamic/llm/session_1/amirz.rootless.nexuslauncher_frida.jsonl,logs/bulk_llm_benign_v6/7fa44d560dc4_amirz.rootless.nexuslauncher/dynamic/llm/session_1/amirz.rootless.nexuslauncher_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,1555,Core flows from expected use largely touched; residual: Interact with discovered UI: Search search_container_hotseat FrameLayout · Apps list all_ · Calendar Calendar icon TextV,,
android.jonas.fakestandby__bulk_llm_benign_v6__88495a6fa050_llm_s1,android.jonas.fakestandby,bulk_llm_benign_v6,88495a6fa050_llm_s1,logs/bulk_llm_benign_v6/88495a6fa050_android.jonas.fakestandby/dynamic/llm/session_1,logs/bulk_llm_benign_v6/88495a6fa050_android.jonas.fakestandby/dynamic/llm/session_1/android.jonas.fakestandby_frida.jsonl,logs/bulk_llm_benign_v6/88495a6fa050_android.jonas.fakestandby/dynamic/llm/session_1/android.jonas.fakestandby_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,0,deeper planned goals beyond early steps (9 planned),,
