session_id,package,app_class,tier,tags,sim_status,faithfulness_verdict,effective_ft,back_wait_ratio,meaningful_frida_22cat,coverage_gap,artifact_dir,frida_trace_path,agent_log_path,named_functional_explore_taps,functional_explore_screens,c0_pass,analyze_status,data_quality_status,session_mode,hook_version
f67ef52502fa_llm_s1,a2dp.Vol,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,41,0.0,2,deeper planned goals beyond early steps (6 planned),logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_1,logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_1/a2dp.Vol_frida.jsonl,logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_1/a2dp.Vol_llm_actions.jsonl,41,2,yes,success,weak:low_meaningful_events,identical,3
f67ef52502fa_llm_s2,a2dp.Vol,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,41,0.0,2,deeper planned goals beyond early steps (6 planned),logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_2,logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_2/a2dp.Vol_frida.jsonl,logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_2/a2dp.Vol_llm_actions.jsonl,41,2,yes,success,weak:low_meaningful_events,identical,3
f67ef52502fa_llm_s3,a2dp.Vol,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,41,0.0,2,deeper planned goals beyond early steps (6 planned),logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_3,logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_3/a2dp.Vol_frida.jsonl,logs/bulk_llm_benign_v2/f67ef52502fa_a2dp.Vol/dynamic/llm/session_3/a2dp.Vol_llm_actions.jsonl,41,2,yes,success,weak:low_meaningful_events,varied,3
b170c24c85b2_llm_s1,ac.mdiq.podcini.X,other,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,success,FAITHFUL,50,0.0,194,deeper planned goals beyond early steps (9 planned),logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_1,logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_1/ac.mdiq.podcini.X_frida.jsonl,logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_1/ac.mdiq.podcini.X_llm_actions.jsonl,0,3,yes,success,good,identical,3
b170c24c85b2_llm_s2,ac.mdiq.podcini.X,other,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,success,FAITHFUL,50,0.0,194,deeper planned goals beyond early steps (9 planned),logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_2,logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_2/ac.mdiq.podcini.X_frida.jsonl,logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_2/ac.mdiq.podcini.X_llm_actions.jsonl,0,3,yes,success,good,identical,3
b170c24c85b2_llm_s3,ac.mdiq.podcini.X,other,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,success,FAITHFUL,50,0.0,214,deeper planned goals beyond early steps (9 planned),logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_3,logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_3/ac.mdiq.podcini.X_frida.jsonl,logs/bulk_llm_benign_v2/b170c24c85b2_ac.mdiq.podcini.X/dynamic/llm/session_3/ac.mdiq.podcini.X_llm_actions.jsonl,0,3,yes,success,good,varied,3
497e019dc8a1_llm_s1,ac.robinson.mediaphone,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,47,0.0,784,"Core flows from expected use largely touched; residual: Browse library, play or queue tracks, navigate artists/albums/playlists",logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_1,logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_1/ac.robinson.mediaphone_frida.jsonl,logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_1/ac.robinson.mediaphone_llm_actions.jsonl,47,4,yes,success,good,identical,3
497e019dc8a1_llm_s2,ac.robinson.mediaphone,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,47,0.0,760,"Core flows from expected use largely touched; residual: Browse library, play or queue tracks, navigate artists/albums/playlists",logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_2,logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_2/ac.robinson.mediaphone_frida.jsonl,logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_2/ac.robinson.mediaphone_llm_actions.jsonl,47,4,yes,success,good,identical,3
497e019dc8a1_llm_s3,ac.robinson.mediaphone,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,46,0.0,1034,deeper planned goals beyond early steps (10 planned),logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_3,logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_3/ac.robinson.mediaphone_frida.jsonl,logs/bulk_llm_benign_v2/497e019dc8a1_ac.robinson.mediaphone/dynamic/llm/session_3/ac.robinson.mediaphone_llm_actions.jsonl,46,4,yes,success,good,varied,3
820f4f9977a2_llm_s1,acr.browser.lightning,browser,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,failed:ux_quality_gate,FAITHFUL,39,0.0488,586,deeper planned goals beyond early steps (10 planned),logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_1,logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_1/acr.browser.lightning_frida.jsonl,logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_1/acr.browser.lightning_llm_actions.jsonl,39,6,yes,success,good,identical,3
