sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets,family_tag
0000000000000000000000000000000000000000000000000000000000000001,s1,m1,2017-01-01 00:00:00,2500000,com.a.one,1,12,2017-02-01,1000000,play,FamA
0000000000000000000000000000000000000000000000000000000000000002,s2,m2,2017-01-01 00:00:00,2600000,com.a.two,1,11,2017-02-01,1000000,play,FamA
0000000000000000000000000000000000000000000000000000000000000003,s3,m3,2017-01-01 00:00:00,2700000,com.a.three,1,25,2017-02-01,1000000,play,FamA
0000000000000000000000000000000000000000000000000000000000000004,s4,m4,2017-01-01 00:00:00,2800000,com.a.four,1,18,2017-02-01,1000000,play,FamA
0000000000000000000000000000000000000000000000000000000000000005,s5,m5,2017-01-01 00:00:00,2900000,com.a.five,1,19,2017-02-01,1000000,play,FamA
0000000000000000000000000000000000000000000000000000000000000006,s6,m6,2017-01-01 00:00:00,3000000,com.b.one,1,13,2017-02-01,1000000,play,FamB
0000000000000000000000000000000000000000000000000000000000000007,s7,m7,2017-01-01 00:00:00,3100000,com.b.two,1,14,2017-02-01,1000000,play,FamB
0000000000000000000000000000000000000000000000000000000000000008,s8,m8,2017-01-01 00:00:00,3200000,com.b.three,1,9,2017-02-01,1000000,play,FamB
0000000000000000000000000000000000000000000000000000000000000009,s9,m9,2017-01-01 00:00:00,3300000,com.b.four,1,16,2017-02-01,1000000,play,FamB
000000000000000000000000000000000000000000000000000000000000000a,s10,m10,2017-01-01 00:00:00,3400000,com.c.one,1,21,2017-02-01,1000000,play,FamC
000000000000000000000000000000000000000000000000000000000000000b,s11,m11,2017-01-01 00:00:00,3500000,com.c.two,1,10,2017-02-01,1000000,play,FamC
000000000000000000000000000000000000000000000000000000000000000c,s12,m12,2017-01-01 00:00:00,3600000,com.c.three,1,22,2017-02-01,1000000,play,FamC
000000000000000000000000000000000000000000000000000000000000000d,s13,m13,2017-01-01 00:00:00,3700000,com.c.four,1,24,2017-02-01,1000000,play,FamC
000000000000000000000000000000000000000000000000000000000000000e,s14,m14,2017-01-01 00:00:00,3800000,com.d.one,1,26,2017-02-01,1000000,play,FamD
000000000000000000000000000000000000000000000000000000000000000f,s15,m15,2017-01-01 00:00:00,3900000,com.d.two,1,8,2017-02-01,1000000,play,FamD
0000000000000000000000000000000000000000000000000000000000000010,s16,m16,2017-01-01 00:00:00,4000000,com.d.three,1,27,2017-02-01,1000000,play,FamD
0000000000000000000000000000000000000000000000000000000000000011,s17,m17,2017-01-01 00:00:00,4100000,com.e.one,1,15,2017-02-01,1000000,play,FamE
0000000000000000000000000000000000000000000000000000000000000012,s18,m18,2017-01-01 00:00:00,22000000,com.e.two,1,30,2017-02-01,1000000,play,FamE
0000000000000000000000000000000000000000000000000000000000000013,s19,m19,2017-01-01 00:00:00,2000000,com.e.three,1,30,2017-02-01,1000000,play,FamE
0000000000000000000000000000000000000000000000000000000000000014,s20,m20,2017-01-01 00:00:00,5000000,com.f.one,1,17,2017-02-01,1000000,play,FamF
